id,supplier_id,month,on_time_rate,incidents
TLM-007-2026-06,SUP-007,2026-06,0.757,1
TLM-008-2026-01,SUP-008,2026-01,0.652,3
TLM-008-2026-02,SUP-008,2026-02,0.572,4
TLM-008-2026-03,SUP-008,2026-03,0.591,5
TLM-008-2026-04,SUP-008,2026-04,0.571,5
TLM-008-2026-05,SUP-008,2026-05,0.564,4
TLM-008-2026-06,SUP-008,2026-06,0.602,3
TLM-009-2026-01,SUP-009,2026-01,0.244,8
TLM-009-2026-02,SUP-009,2026-02,0.274,7
TLM-009-2026-03,SUP-009,2026-03,0.269,8
TLM-009-2026-04,SUP-009,2026-04,0.303,7
TLM-009-2026-05,SUP-009,2026-05,0.269,6
TLM-009-2026-06,SUP-009,2026-06,0.251,7
TLM-010-2026-01,SUP-010,2026-01,0.3,7
TLM-010-2026-02,SUP-010,2026-02,0.283,8
TLM-010-2026-03,SUP-010,2026-03,0.282,6
TLM-010-2026-04,SUP-010,2026-04,0.31,7
TLM-010-2026-05,SUP-010,2026-05,0.359,7
TLM-010-2026-06,SUP-010,2026-06,0.293,7
TLM-011-2026-01,SUP-011,2026-01,0.154,9
TLM-011-2026-02,SUP-011,2026-02,0.227,9
TLM-011-2026-03,SUP-011,2026-03,0.206,9
TLM-011-2026-04,SUP-011,2026-04,0.224,9
TLM-011-2026-05,SUP-011,2026-05,0.235,8
TLM-011-2026-06,SUP-011,2026-06,0.177,8
TLM-012-2026-01,SUP-012,2026-01,0.371,6
TLM-012-2026-02,SUP-012,2026-02,0.326,6
TLM-012-2026-03,SUP-012,2026-03,0.37,7
TLM-012-2026-04,SUP-012,2026-04,0.341,7
TLM-012-2026-05,SUP-012,2026-05,0.368,6
TLM-012-2026-06,SUP-012,2026-06,0.382,7
TLM-013-2026-01,SUP-013,2026-01,0.16,8
TLM-013-2026-02,SUP-013,2026-02,0.164,8
TLM-013-2026-03,SUP-013,2026-03,0.116,9
TLM-013-2026-04,SUP-013,2026-04,0.154,9
TLM-013-2026-05,SUP-013,2026-05,0.168,9
TLM-013-2026-06,SUP-013,2026-06,0.139,9
TLM-014-2026-01,SUP-014,2026-01,0.635,3
TLM-014-2026-02,SUP-014,2026-02,0.62,3
TLM-014-2026-03,SUP-014,2026-03,0.65,3
TLM-014-2026-04,SUP-014,2026-04,0.607,3
TLM-014-2026-05,SUP-014,2026-05,0.616,3
TLM-014-2026-06,SUP-014,2026-06,0.671,4
TLM-015-2026-01,SUP-015,2026-01,0.552,4
TLM-015-2026-02,SUP-015,2026-02,0.563,4
TLM-015-2026-03,SUP-015,2026-03,0.584,5
TLM-015-2026-04,SUP-015,2026-04,0.597,3
TLM-015-2026-05,SUP-015,2026-05,0.572,4
TLM-015-2026-06,SUP-015,2026-06,0.579,3
TLM-016-2026-01,SUP-016,2026-01,0.261,7
TLM-016-2026-02,SUP-016,2026-02,0.269,7
TLM-016-2026-03,SUP-016,2026-03,0.255,8
TLM-016-2026-04,SUP-016,2026-04,0.297,6
TLM-016-2026-05,SUP-016,2026-05,0.326,8
TLM-016-2026-06,SUP-016,2026-06,0.345,8
TLM-017-2026-01,SUP-017,2026-01,0.759,3
TLM-017-2026-02,SUP-017,2026-02,0.772,2
TLM-017-2026-03,SUP-017,2026-03,0.745,2
TLM-017-2026-04,SUP-017,2026-04,0.691,3
TLM-017-2026-05,SUP-017,2026-05,0.787,3
TLM-017-2026-06,SUP-017,2026-06,0.759,2
TLM-018-2026-01,SUP-018,2026-01,0.86,2
TLM-018-2026-02,SUP-018,2026-02,0.83,2
TLM-018-2026-03,SUP-018,2026-03,0.904,2
TLM-018-2026-04,SUP-018,2026-04,0.906,2
TLM-018-2026-05,SUP-018,2026-05,0.882,1
TLM-018-2026-06,SUP-018,2026-06,0.85,2
TLM-019-2026-01,SUP-019,2026-01,0.547,5
TLM-019-2026-02,SUP-019,2026-02,0.482,6
TLM-019-2026-03,SUP-019,2026-03,0.505,5
TLM-019-2026-04,SUP-019,2026-04,0.499,4
TLM-019-2026-05,SUP-019,2026-05,0.503,5
TLM-019-2026-06,SUP-019,2026-06,0.571,5
TLM-020-2026-01,SUP-020,2026-01,0.629,4
TLM-020-2026-02,SUP-020,2026-02,0.612,3
TLM-020-2026-03,SUP-020,2026-03,0.64,4
TLM-020-2026-04,SUP-020,2026-04,0.575,5
TLM-020-2026-05,SUP-020,2026-05,0.572,5
TLM-020-2026-06,SUP-020,2026-06,0.622,4
TLM-021-2026-01,SUP-021,2026-01,0.836,1
TLM-021-2026-02,SUP-021,2026-02,0.893,1
TLM-021-2026-03,SUP-021,2026-03,0.828,2
TLM-021-2026-04,SUP-021,2026-04,0.821,0
TLM-021-2026-05,SUP-021,2026-05,0.877,0
TLM-021-2026-06,SUP-021,2026-06,0.873,0
TLM-022-2026-01,SUP-022,2026-01,0.724,4
TLM-022-2026-02,SUP-022,2026-02,0.684,3
TLM-022-2026-03,SUP-022,2026-03,0.717,3
TLM-022-2026-04,SUP-022,2026-04,0.67,2
TLM-022-2026-05,SUP-022,2026-05,0.706,2
TLM-022-2026-06,SUP-022,2026-06,0.717,2
TLM-023-2026-01,SUP-023,2026-01,0.901,1
TLM-023-2026-02,SUP-023,2026-02,0.849,2
TLM-023-2026-03,SUP-023,2026-03,0.845,1
TLM-023-2026-04,SUP-023,2026-04,0.875,1
TLM-023-2026-05,SUP-023,2026-05,0.906,2
TLM-023-2026-06,SUP-023,2026-06,0.882,2
TLM-024-2026-01,SUP-024,2026-01,0.437,5
TLM-024-2026-02,SUP-024,2026-02,0.422,6
TLM-024-2026-03,SUP-024,2026-03,0.417,5
TLM-024-2026-04,SUP-024,2026-04,0.42,5
TLM-024-2026-05,SUP-024,2026-05,0.443,5
TLM-024-2026-06,SUP-024,2026-06,0.475,6
TLM-025-2026-01,SUP-025,2026-01,0.636,4
TLM-025-2026-02,SUP-025,2026-02,0.553,5
TLM-025-2026-03,SUP-025,2026-03,0.641,3
TLM-025-2026-04,SUP-025,2026-04,0.628,5
TLM-025-2026-05,SUP-025,2026-05,0.624,5
TLM-025-2026-06,SUP-025,2026-06,0.551,5
TLM-026-2026-01,SUP-026,2026-01,0.774,3
TLM-026-2026-02,SUP-026,2026-02,0.735,3
TLM-026-2026-03,SUP-026,2026-03,0.737,3
TLM-026-2026-04,SUP-026,2026-04,0.694,2
TLM-026-2026-05,SUP-026,2026-05,0.736,3
TLM-026-2026-06,SUP-026,2026-06,0.71,3
TLM-027-2026-01,SUP-027,2026-01,0.833,1
TLM-027-2026-02,SUP-027,2026-02,0.903,1
TLM-027-2026-03,SUP-027,2026-03,0.836,1
TLM-027-2026-04,SUP-027,2026-04,0.813,2
TLM-027-2026-05,SUP-027,2026-05,0.861,1
TLM-027-2026-06,SUP-027,2026-06,0.829,2
TLM-028-2026-01,SUP-028,2026-01,0.628,3
TLM-028-2026-02,SUP-028,2026-02,0.68,4
TLM-028-2026-03,SUP-028,2026-03,0.678,3
TLM-028-2026-04,SUP-028,2026-04,0.604,5
TLM-028-2026-05,SUP-028,2026-05,0.672,4
TLM-028-2026-06,SUP-028,2026-06,0.607,4
TLM-029-2026-01,SUP-029,2026-01,0.909,0
TLM-029-2026-02,SUP-029,2026-02,0.874,1
TLM-029-2026-03,SUP-029,2026-03,0.882,1
TLM-029-2026-04,SUP-029,2026-04,0.858,0
TLM-029-2026-05,SUP-029,2026-05,0.87,1
TLM-029-2026-06,SUP-029,2026-06,0.859,0
TLM-030-2026-01,SUP-030,2026-01,0.784,3
TLM-030-2026-02,SUP-030,2026-02,0.762,3
TLM-030-2026-03,SUP-030,2026-03,0.715,3
TLM-030-2026-04,SUP-030,2026-04,0.779,2
TLM-030-2026-05,SUP-030,2026-05,0.784,2
TLM-030-2026-06,SUP-030,2026-06,0.79,2
