id,contract_id,clause_type,text
CLA-070,CON-049,standard,Standard master services agreement terms and conditions apply.
CLA-071,CON-049,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-072,CON-050,standard,Standard master services agreement terms and conditions apply.
CLA-073,CON-050,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-074,CON-051,standard,Standard master services agreement terms and conditions apply.
CLA-075,CON-051,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-076,CON-052,standard,Standard master services agreement terms and conditions apply.
CLA-077,CON-052,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-078,CON-053,standard,Standard master services agreement terms and conditions apply.
CLA-079,CON-053,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-080,CON-054,standard,Standard master services agreement terms and conditions apply.
CLA-081,CON-055,standard,Standard master services agreement terms and conditions apply.
CLA-082,CON-056,standard,Standard master services agreement terms and conditions apply.
CLA-083,CON-057,standard,Standard master services agreement terms and conditions apply.
CLA-084,CON-058,standard,Standard master services agreement terms and conditions apply.
CLA-085,CON-059,standard,Standard master services agreement terms and conditions apply.
CLA-086,CON-060,standard,Standard master services agreement terms and conditions apply.
CLA-087,CON-061,standard,Standard master services agreement terms and conditions apply.
CLA-088,CON-062,standard,Standard master services agreement terms and conditions apply.
CLA-089,CON-063,standard,Standard master services agreement terms and conditions apply.
CLA-090,CON-064,standard,Standard master services agreement terms and conditions apply.
CLA-091,CON-065,standard,Standard master services agreement terms and conditions apply.
CLA-092,CON-066,standard,Standard master services agreement terms and conditions apply.
CLA-093,CON-066,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-094,CON-067,standard,Standard master services agreement terms and conditions apply.
CLA-095,CON-067,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-096,CON-068,standard,Standard master services agreement terms and conditions apply.
CLA-097,CON-069,standard,Standard master services agreement terms and conditions apply.
CLA-098,CON-070,standard,Standard master services agreement terms and conditions apply.
CLA-099,CON-071,standard,Standard master services agreement terms and conditions apply.
CLA-100,CON-071,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-101,CON-072,standard,Standard master services agreement terms and conditions apply.
CLA-102,CON-072,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-103,CON-073,standard,Standard master services agreement terms and conditions apply.
CLA-104,CON-074,standard,Standard master services agreement terms and conditions apply.
CLA-105,CON-075,standard,Standard master services agreement terms and conditions apply.
CLA-106,CON-075,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-107,CON-076,standard,Standard master services agreement terms and conditions apply.
CLA-108,CON-077,standard,Standard master services agreement terms and conditions apply.
CLA-109,CON-078,standard,Standard master services agreement terms and conditions apply.
CLA-110,CON-079,standard,Standard master services agreement terms and conditions apply.
CLA-111,CON-080,standard,Standard master services agreement terms and conditions apply.
CLA-112,CON-081,standard,Standard master services agreement terms and conditions apply.
CLA-113,CON-082,standard,Standard master services agreement terms and conditions apply.
CLA-114,CON-083,standard,Standard master services agreement terms and conditions apply.
CLA-115,CON-083,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-116,CON-084,standard,Standard master services agreement terms and conditions apply.
CLA-117,CON-084,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-118,CON-085,standard,Standard master services agreement terms and conditions apply.
CLA-119,CON-086,standard,Standard master services agreement terms and conditions apply.
CLA-120,CON-087,standard,Standard master services agreement terms and conditions apply.
CLA-121,CON-088,standard,Standard master services agreement terms and conditions apply.
CLA-122,CON-089,standard,Standard master services agreement terms and conditions apply.
CLA-123,CON-089,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-124,CON-090,standard,Standard master services agreement terms and conditions apply.
CLA-125,CON-090,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
